title,genre,final
High School DxD,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'ác quỷ']",high school dxd
Hundred,"['hành động', 'học đường', 'ecchi', 'harem', 'mecha', 'tình yêu', 'viễn tưởng']",hundred
Shinchou Yuusha: Kono Yuusha ga Ore Tuee Kuse ni Shinchou Sugiru,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'isekai']",shinchou yuusha kono yuusha ga ore tuee kuse ni shinchou sugiru
Kiseijuu: Sei no Kakuritsu,"['hành động', 'drama', 'kinh dị', 'tâm lý', 'tragedy', 'viễn tưởng']",kiseijuu sei no kakuritsu
Shinmai Maou no Testament Burst (Ss2),"['hành động', 'ecchi', 'harem', 'giả tưởng', 'tình yêu']",shinmai maou no testament burst
Overlord II,"['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'siêu nhiên', 'game', 'isekai']",overlord ii
Nanatsu no Taizai: Imashime no Fukkatsu (Ss2),"['hành động', 'giả tưởng', 'siêu nhiên', 'shounen']",nanatsu no taizai imashime no fukkatsu
Fairy Tail 3 (2018) (Ss3),"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'phép thuật', 'shounen']",fairy tail
Kono Subarashii Sekai ni Shukufuku wo!,"['phiêu lưu', 'hài hước', 'giả tưởng', 'tình yêu', 'siêu nhiên', 'isekai']",kono subarashii sekai ni shukufuku wo
Yu-Gi-Oh! Duel Monster,"['phiêu lưu', 'shounen', 'game']",yu-gi-oh duel monster
Pokemon Season 19 : XY,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng']",pokemon xy
Haikyuu!!,"['học đường', 'hài hước', 'drama', 'thể thao', 'shounen']",haikyuu!!
Ahiru no Sora,"['học đường', 'drama']",ahiru no sora
Masou Gakuen HxH,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'viễn tưởng']",masou gakuen hxh
Saijaku Muhai no Bahamut,"['hành động', 'học đường', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên']",saijaku muhai no bahamut
Monster Musume no Iru Nichijou,"['học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'seinen']",monster musume no iru nichijou
High School DxD New,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'ác quỷ']",high school dxd new
Boku no Hero Academia 3rd Season,"['hành động', 'học đường', 'hài hước', 'shounen', 'siêu năng lực']",boku no hero academia
One Punch Man 2nd Season,"['hành động', 'hài hước', 'siêu nhiên', 'siêu năng lực', 'parody', 'viễn tưởng', 'seinen']",one punch man
Rokudenashi Majutsu Koushi to Akashic Records,"['hành động', 'học đường', 'giả tưởng', 'phép thuật']",rokudenashi majutsu koushi to akashic records
Enen no Shouboutai,"['hành động', 'shounen', 'viễn tưởng']",enen no shouboutai
Gakusen Toshi Asterisk 2nd Season,"['học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên', 'viễn tưởng']",gakusen toshi asterisk
Charlotte,"['học đường', 'drama', 'siêu năng lực']",charlotte
Nisekoi,"['học đường', 'hài hước', 'harem', 'tình yêu', 'shounen']",nisekoi
Attack on Titan Season 2,"['hành động', 'drama', 'giả tưởng', 'shounen', 'siêu năng lực', 'bạo lực']",attack on titan
Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'tình yêu']",dungeon ni deai o motomeru no wa machigatteiru darou ka
Dragon Ball Kai (2014),"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'siêu nhiên', 'shounen']",dragon ball kai
Haikyuu!! 2nd Season,"['học đường', 'hài hước', 'drama', 'thể thao', 'shounen']",haikyuu
No Game No Life,"['hành động', 'phiêu lưu', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'isekai', 'siêu nhiên', 'kemonomimi', 'thiên thần']",no game no life
Rakudai Kishi no Cavalry,"['hành động', 'học đường', 'giả tưởng', 'tình yêu']",rakudai kishi no cavalry
Date A Live,"['học đường', 'hài hước', 'harem', 'mecha', 'tình yêu', 'viễn tưởng']",date a live
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'viễn tưởng', 'isekai']",itai no wa iya nano de bougyoryoku ni kyokufuri shitai to omoimasu
Võ Thần Chúa Tể,"['hành động', 'phiêu lưu', 'giả tưởng', 'cartoon']",võ thần chúa tể
Dragon Ball Kai,"['hành động', 'phiêu lưu', 'hài hước', 'shounen', 'siêu năng lực', 'võ thuật']",dragon ball kai
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['học đường', 'hài hước', 'tình yêu']",youkoso jitsuryoku shijou shugi no kyoushitsu e
Tensei shitara Slime Datta Ken 2nd Season,"['hài hước', 'giả tưởng', 'isekai']",tensei shitara slime datta ken
Ansatsu Kyoushitsu,"['hành động', 'học đường', 'hài hước', 'đời thường', 'siêu nhiên', 'shounen']",ansatsu kyoushitsu
Shokugeki no Souma: Ni no Sara (Ss2),"['học đường', 'ecchi', 'shounen']",shokugeki no souma ni no sara
Ao No Exorcist,"['hành động', 'hài hước', 'siêu nhiên', 'shounen', 'ác quỷ']",ao no exorcist
Kuroko no Basket 3,"['học đường', 'hài hước', 'thể thao', 'shounen']",kuroko no basket
Trinity Seven,"['hành động', 'hài hước', 'ecchi', 'harem', 'phép thuật', 'tình yêu']",trinity seven
Beelzebub,"['hành động', 'học đường', 'hài hước', 'đời thường', 'siêu nhiên', 'shounen', 'ác quỷ']",beelzebub
Ansatsu Kyoushitsu (TV) 2nd Season,"['hành động', 'học đường', 'hài hước', 'shounen']",ansatsu kyoushitsu2nd season
Vạn Giới Tiên Tung,"['hành động', 'bỉ ẩn', 'shounen']",vạn giới tiên tung
Nanatsu no Taizai: Kamigami no Gekirin (Ss3),"['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'siêu nhiên', 'shounen']",nanatsu no taizai kamigami no gekirin
Yu-Gi-Oh! Arc-V,"['hành động', 'giả tưởng', 'shounen']",yu-gi-oh arc-v
Kuroko No Basket,"['học đường', 'hài hước', 'thể thao', 'shounen']",kuroko no basket
Yu-gi-oh! Gx,"['hành động', 'hài hước', 'giả tưởng', 'shounen', 'game']",yu-gi-oh gx
Dororo,"['hành động', 'phiêu lưu', 'lịch sử', 'siêu nhiên', 'shounen', 'ác quỷ']",dororo
Yosuga No Sora [BD],"['drama', 'ecchi', 'harem', 'tình yêu']",yosuga no sora
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","['hành động', 'phiêu lưu', 'giả tưởng', 'quân đội', 'isekai']",gate: jieitai kanochi nite kaku tatakaeri
Tokyo Ghoul √A,"['hành động', 'kinh dị', 'bỉ ẩn', 'tâm lý', 'siêu nhiên', 'bạo lực', 'seinen']",tokyo ghoul √a
Tokyo Ghoul,"['hành động', 'drama', 'kinh dị', 'bỉ ẩn', 'tâm lý', 'siêu nhiên', 'seinen']",tokyo ghoul
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['hài hước', 'giả tưởng', 'phép thuật', 'isekai']",isekai maou to shoukan shoujo no dorei majutsu
To LOVE-Ru Trouble,"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'shounen', 'viễn tưởng']",to love-ru trouble
Shigatsu wa Kimi no Uso,"['học đường', 'drama', 'music', 'tình yêu', 'shounen']",shigatsu wa kimi no uso
Log Horizon,"['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'shounen', 'game', 'isekai']",log horizon
Boku no Hero Academia,"['hành động', 'học đường', 'hài hước', 'shounen', 'siêu năng lực']",boku no hero academia
Shokugeki no Souma: San no Sara (Ss3),"['học đường', 'hài hước', 'ecchi', 'shounen']",shokugeki no souma san no sara
Seiken Tsukai no World Break,"['hành động', 'giả tưởng', 'tình yêu', 'viễn tưởng']",seiken tsukai no world break
Fate/Zero,"['hành động', 'giả tưởng', 'tâm lý', 'tragedy', 'siêu nhiên', 'bạo lực']",fate zero
Saiki Kusuo no Ψ-nan (TV),"['học đường', 'hài hước', 'siêu nhiên', 'shounen']",saiki kusuo no ψ-nan
Darling in the FranXX,"['mecha', 'viễn tưởng']",darling in the franxx
Kuroko no Basket 2,"['học đường', 'hài hước', 'thể thao', 'shounen']",kuroko no basket
Absolute Duo,"['hành động', 'học đường', 'ecchi', 'harem', 'giả tưởng', 'tình yêu']",absolute duo
Taimadou Gakuen 35 Shiken Shoutai,"['hành động', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên', 'quân đội']",taimadou gakuen 35 shiken shoutai
High School DxD Hero (Ss4),"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'ác quỷ']",high school dxd hero
Yahari Ore no Seishun Love Comedy wa Machigatteiru,"['học đường', 'hài hước', 'tình yêu']",yahari ore no seishun love comedy wa machigatteiru
Vạn Giới Thần Chủ,"['phiêu lưu', 'giả tưởng', 'bỉ ẩn', 'võ thuật', 'cartoon']",vạn giới thần chủ
Attack on Titan Season 4,"['hành động', 'drama', 'giả tưởng', 'bỉ ẩn', 'shounen', 'siêu năng lực', 'quân đội']",attack on titan
Seirei Tsukai no Blade Dance,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên']",seirei tsukai no blade dance
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"['học đường', 'hài hước', 'ecchi']",shimoneta to iu gainen ga sonzai shinai taikutsu na sekai
Grisaia no Kajitsu,"['học đường', 'hài hước', 'ecchi', 'harem', 'tâm lý', 'tình yêu']",grisaia no kajitsu
Amagi Brilliant Park,"['hài hước', 'ecchi', 'harem', 'phép thuật', 'tình yêu']",amagi brilliant park
Aki Sora 18,"['ecchi', 'tình yêu', 'seinen']",aki sora
Gintama' (2015),"['hành động', 'hài hước', 'lịch sử', 'shounen', 'parody', 'samurai', 'viễn tưởng']",gintama'
Owari no Seraph,"['drama', 'ma cà rồng', 'siêu nhiên', 'shounen']",owari no seraph
Toàn Chức Pháp Sư,"['siêu năng lực', 'cartoon', 'isekai']",toàn chức pháp sư
Koutetsujou no Kabaneri,"['hành động', 'drama', 'giả tưởng', 'shounen']",koutetsujou no kabaneri
Yu-Gi-Oh! 5D's,"['hành động', 'shounen', 'game']",yu-gi-oh 5d's
Hataraku Maou-sama! [BD],"['hài hước', 'giả tưởng', 'tình yêu', 'shounen', 'ác quỷ', 'isekai']",hataraku maou-sama
"Hachi-nan tte, Sore wa Nai deshou!","['hành động', 'giả tưởng', 'isekai']",hachi-nan tte sore wa nai deshou!
Dragon Ball GT,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'phép thuật', 'shounen', 'siêu năng lực', 'viễn tưởng']",dragon ball gt
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"['học đường', 'hài hước', 'tình yêu']",yahari ore no seishun love comedy wa machigatteiru zoku
Kono Subarashii Sekai ni Shukufuku wo! 2,"['phiêu lưu', 'hài hước', 'phép thuật', 'siêu nhiên', 'viễn tưởng', 'isekai']",kono subarashii sekai ni shukufuku wo
Horimiya,"['học đường', 'hài hước', 'đời thường', 'tình yêu', 'shounen']",horimiya
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['drama', 'giả tưởng', 'tâm lý', 'thriller', 'isekai']",re zero kara hajimeru isekai seikatsu
Log Horizon 2nd Season,"['hành động', 'phiêu lưu', 'giả tưởng', 'isekai', 'phép thuật', 'shounen', 'game', 'viễn tưởng']",log horizon
Okusama ga Seitokaichou!,"['học đường', 'hài hước', 'ecchi', 'tình yêu']",okusama ga seitokaichou
Masamune-kun no Revenge,"['học đường', 'hài hước', 'đời thường', 'shounen']",masamune-kun no revenge
Madan no Ou to Vanadis,"['phiêu lưu', 'ecchi', 'harem', 'giả tưởng', 'tình yêu']",madan no ou to vanadis
Assassins Pride,['giả tưởng'],assassins pride
Tonikaku Kawaii,"['hài hước', 'tình yêu', 'shounen']",tonikaku kawaii
Knight's & Magic,"['hành động', 'học đường', 'giả tưởng', 'mecha', 'isekai']",knight's magic
Owari no Seraph 2nd Season,"['drama', 'ma cà rồng', 'siêu nhiên', 'shounen']",owari no seraph
Death March kara Hajimaru Isekai Kyousoukyoku,"['giả tưởng', 'isekai']",death march kara hajimaru isekai kyousoukyoku
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen","['hành động', 'phiêu lưu', 'giả tưởng', 'quân đội', 'isekai']",gate: jieitai kanochi nite kaku tatakaeri-enryuu-hen
Toàn chức cao thủ,"['hành động', 'phiêu lưu', 'hài hước', 'game', 'võ thuật', 'cartoon']",toàn chức cao thủ
Baki,"['hành động', 'shounen', 'võ thuật']",baki
Sakurasou No Pet Na Kanojo,"['học đường', 'hài hước', 'đời thường', 'drama', 'tình yêu']",sakurasou no pet na kanojo
Death Note,"['bỉ ẩn', 'tâm lý', 'siêu nhiên', 'police', 'thriller']",death note
To LOVE-Ru Darkness 2nd,"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'shounen', 'viễn tưởng']",to love-ru darkne
Golden Time,"['hài hước', 'tình yêu', 'seinen']",golden time
Hyouka,"['học đường', 'đời thường', 'bỉ ẩn']",hyouka
Busou Shoujo Machiavellianism,"['hành động', 'học đường', 'shounen']",busou shoujo machiavellianism
Mirai Nikki [BD],"['hành động', 'giả tưởng', 'tâm lý', 'siêu nhiên', 'shounen', 'thriller']",mirai nikki
Kimetsu no Yaiba: Yuukaku-hen (Ss2),"['hành động', 'lịch sử', 'siêu nhiên', 'shounen', 'ác quỷ']",kimetsu no yaiba yuukaku-hen
ReLIFE,"['học đường', 'đời thường', 'tình yêu']",relife
Diamond no Ace,"['học đường', 'hài hước', 'thể thao', 'shounen']",diamond no ace
Yu-gi-oh ! Zexal,"['hành động', 'siêu nhiên', 'shounen', 'game']",yu-gi-oh zexal
Date A Live II (Ss2),"['học đường', 'hài hước', 'harem', 'mecha', 'tình yêu', 'viễn tưởng']",date a live ii
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['học đường', 'hài hước', 'tình yêu']",seishun buta yarou wa bunny girl senpai no yume wo minai
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,"['giả tưởng', 'isekai']",choujin koukousei-tachi wa isekai demo yoyuu de ikinuku you desu
Guilty Crown,"['hành động', 'drama', 'shounen', 'siêu năng lực', 'viễn tưởng']",guilty crown
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['hành động', 'giả tưởng', 'phép thuật', 'siêu nhiên']",fate grand order zettai majuu sensen babylonia
Mahouka Koukou no Rettousei: Raihousha-hen (Ss2),"['hành động', 'học đường', 'phép thuật', 'tình yêu', 'siêu nhiên', 'viễn tưởng']",mahouka koukou no rettousei raihousha-hen
Kyokou Suiri,"['hài hước', 'bỉ ẩn', 'tình yêu', 'siêu nhiên', 'shounen', 'ác quỷ']",kyokou suiri
Musaigen no Phantom World,"['hành động', 'giả tưởng', 'siêu nhiên']",musaigen no phantom world
Tokyo Ravens,"['hành động', 'học đường', 'hài hước', 'siêu nhiên', 'shounen', 'siêu năng lực']",tokyo ravens
Prison School,"['học đường', 'hài hước', 'ecchi', 'tình yêu', 'seinen']",prison school
Boku no Hero Academia 4th Season,"['hành động', 'học đường', 'hài hước', 'shounen', 'siêu năng lực']",boku no hero academia
"Omiai Aite wa Oshiego, Tsuyokina, Mondaiji.","['học đường', 'ecchi', 'tình yêu', 'josei']",omiai aite wa oshiego tsuyokina mondaiji.
Netoge no Yome wa Onnanoko ja Nai to Omotta,"['học đường', 'hài hước', 'ecchi', 'tình yêu']",netoge no yome wa onnanoko ja nai to omotta
Noragami Aragoto (Ss2),"['hành động', 'phiêu lưu', 'siêu nhiên', 'shounen']",noragami aragoto
Kekkai Sensen,"['hành động', 'phiêu lưu', 'giả tưởng', 'ma cà rồng', 'siêu năng lực', 'seinen']",kekkai sensen
Prince of Tennis,"['học đường', 'hài hước', 'thể thao', 'shounen']",prince of tennis
Cross Ange: Tenshi to Ryuu no Rondo,"['hành động', 'ecchi', 'mecha', 'viễn tưởng']",cross ange tenshi to ryuu no rondo
Magi: The Kingdom of Magic (Ss2),"['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'shounen']",magi the kingdom of magic
Toaru Majutsu no Index,"['hành động', 'harem', 'phép thuật', 'tình yêu', 'siêu năng lực', 'viễn tưởng']",toaru majutsu no index
Pokemon Season 20 : XY & Z,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'kids']",pokemon xy z
Bungou Stray Dogs,"['bỉ ẩn', 'siêu nhiên', 'seinen']",bungou stray dogs
Hai to Gensou no Grimgar,"['hành động', 'phiêu lưu', 'drama', 'giả tưởng', 'isekai']",hai to gensou no grimgar
Kobayashi-san Chi no Maid Dragon,"['hài hước', 'đời thường', 'viễn tưởng']",kobayashi-san chi no maid dragon
Code Geass: Hangyaku No Lelouch [BD],"['hành động', 'học đường', 'mecha', 'tragedy', 'quân đội', 'viễn tưởng']",code geass hangyaku no lelouch
Dragon Ball Heroes,"['hành động', 'hài hước', 'giả tưởng', 'shounen', 'siêu năng lực', 'võ thuật']",dragon ball heroes
Nisekoi 2nd Season,"['học đường', 'hài hước', 'harem', 'tình yêu', 'shounen']",nisekoi
Yu☆Gi☆Oh! VRAINS,"['hành động', 'giả tưởng', 'shounen', 'game']",yu☆gi☆oh vrains
IS: Infinite Stratos,"['hành động', 'hài hước', 'harem', 'mecha', 'shounen', 'viễn tưởng']",is infinite stratos
Saenai Heroine no Sodatekata,"['học đường', 'hài hước', 'đời thường', 'tình yêu']",saenai heroine no sodatekata
Kuusen Madoushi Kouhosei no Kyoukan,"['hành động', 'học đường', 'drama', 'giả tưởng', 'phép thuật']",kuusen madoushi kouhosei no kyoukan
Captain Tsubasa (2018),"['hành động', 'thể thao', 'shounen']",captain tsubasa
Overlord IV,"['hành động', 'giả tưởng', 'siêu nhiên', 'isekai']",overlord iv
Kiss x Sis (TV),"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'seinen']",kiss x sis
Date A Live III (Ss3),"['học đường', 'hài hước', 'harem', 'mecha', 'tình yêu', 'viễn tưởng']",date a live iii
Himouto! Umaru-chan,"['học đường', 'hài hước', 'đời thường']",himouto umaru-chan
Fate/Apocrypha,"['hành động', 'drama', 'giả tưởng', 'lịch sử', 'phép thuật', 'siêu nhiên']",fate apocrypha
Gotoubun no Hanayome,"['học đường', 'hài hước', 'harem', 'tình yêu', 'shounen']",gotoubun no hanayome
Toradora,"['học đường', 'hài hước', 'đời thường', 'tình yêu']",toradora
Denpa Kyoushi (TV),"['học đường', 'hài hước', 'harem', 'tình yêu', 'shounen']",denpa kyoushi
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['học đường', 'hài hước', 'tâm lý', 'tình yêu', 'seinen']",kaguya-sama wa kokurasetai tensai-tachi no renai zunousen
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'tình yêu']",dungeon ni deai wo motomeru no wa machigatteiru darou ka ii
Slam Dunk,"['học đường', 'hài hước', 'drama', 'thể thao', 'shounen']",slam dunk
Eyeshield 21,"['hành động', 'hài hước', 'thể thao', 'shounen']",eyeshield
Bakemonogatari,"['bỉ ẩn', 'tình yêu', 'ma cà rồng', 'siêu nhiên']",bakemonogatari
Ore wo Suki nano wa Omae dake ka yo,"['học đường', 'hài hước', 'tình yêu']",ore wo suki nano wa omae dake ka yo
Goblin Slayer,"['hành động', 'giả tưởng']",goblin slayer
Nhất Niệm Vĩnh Hằng,"['hành động', 'phiêu lưu', 'cartoon']",nhất niệm vĩnh hằng
Campione!,"['hài hước', 'ecchi', 'harem', 'giả tưởng', 'phép thuật', 'tình yêu']",campione
Eromanga-sensei,"['hài hước', 'drama', 'tình yêu']",eromanga-sensei
Mahoutsukai no Yome,"['đời thường', 'giả tưởng', 'phép thuật', 'shounen']",mahoutsukai no yome
Zero no Tsukaima,"['hành động', 'phiêu lưu', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'isekai', 'phép thuật', 'tình yêu']",zero no tsukaima
D.gray Man,"['hành động', 'phiêu lưu', 'hài hước', 'shounen']",d gray man
Fullmetal Alchemist: Brotherhood,"['hành động', 'phiêu lưu', 'drama', 'giả tưởng', 'phép thuật', 'shounen', 'quân đội']",fullmetal alchemist brotherhood
Spy x Family,"['hành động', 'hài hước']",spy x family
Ushio and Tora,"['hài hước', 'siêu nhiên', 'shounen', 'ác quỷ']",ushio and tora
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen (Ss3) Part 2,"['học đường', 'ecchi', 'shounen']",shokugeki no souma san no sara-toutsuki ressha-hen
Kyou kara Maou!,"['phiêu lưu', 'hài hước', 'giả tưởng', 'shoujo', 'ác quỷ']",kyou kara maou
Akatsuki no Yona,"['hành động', 'hài hước', 'giả tưởng', 'tình yêu', 'shoujo']",akatsuki no yona
Tokyo Ghoul:re 2nd Season,"['hành động', 'drama', 'kinh dị', 'bỉ ẩn', 'tâm lý', 'siêu nhiên', 'shounen']",tokyo ghoul re
God Eater,"['hành động', 'giả tưởng', 'siêu nhiên', 'quân đội', 'ác quỷ']",god eater
Tsuki ga Michibiku Isekai Douchuu,"['phiêu lưu', 'giả tưởng', 'isekai']",tsuki ga michibiku isekai douchuu
Hagure Yuusha no Estetica,"['hành động', 'ecchi', 'giả tưởng', 'siêu năng lực']",hagure yuusha no estetica
Tokyo Ghoul:re,"['hành động', 'drama', 'kinh dị', 'bỉ ẩn', 'tâm lý', 'siêu nhiên', 'seinen']",tokyo ghoul re
Hajimete no Gal,"['học đường', 'hài hước', 'ecchi', 'tình yêu', 'shounen']",hajimete no gal
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken","['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu']",ore ga ojousama gakkou ni shomin sample toshite gets♥sareta ken
Grand Blue,"['hài hước', 'đời thường', 'seinen']",grand blue
Inazuma Eleven,"['thể thao', 'shounen', 'siêu năng lực']",inazuma eleven
Maou Gakuin no Futekigousha,"['học đường', 'giả tưởng', 'phép thuật', 'isekai']",maou gakuin no futekigousha
Infinite Dendrogram,"['giả tưởng', 'game']",infinite dendrogram
To Love-ru Darkness [BD],"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'shounen', 'viễn tưởng']",to love-ru darkness
Seikon No Qwaser,"['hành động', 'ecchi', 'siêu nhiên', 'shounen', 'siêu năng lực']",seikon no qwaser
Highschool of the Dead,"['hành động', 'ecchi', 'kinh dị', 'siêu nhiên']",highschool of the dead
Noragami,"['hành động', 'phiêu lưu', 'siêu nhiên', 'shounen']",noragami
Black Bullet,"['hành động', 'giả tưởng', 'bỉ ẩn', 'tragedy', 'đấu súng', 'kemonomimi', 'viễn tưởng', 'bạo lực', 'seinen']",black bullet
Bokutachi wa Benkyou ga Dekinai,"['học đường', 'hài hước', 'harem', 'tình yêu', 'shounen']",bokutachi wa benkyou ga dekinai
Tokyo Revengers,"['hành động', 'học đường', 'drama', 'shounen']",tokyo revengers
Boku no Hero Academia 5th Season,"['hành động', 'học đường', 'hài hước', 'shounen', 'siêu năng lực']",boku no hero academia
Saiki Kusuo no Ψ-nan 2,"['học đường', 'hài hước', 'shounen', 'siêu năng lực']",saiki kusuo no ψ-nan
Darwin's Game,"['hành động', 'bỉ ẩn', 'shounen']",darwin's game
Boku Wa Tomodachi Ga Sukunai,"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'seinen']",boku wa tomodachi ga sukunai
Kamen Rider Zi-O,['tokusatsu'],kamen rider zi-o
Yamadakun to Nananin no Majo,"['học đường', 'hài hước', 'harem', 'phép thuật', 'siêu nhiên', 'shounen']",yamadakun to nananin no majo
25-sai no Joshikousei,"['học đường', 'ecchi', 'tình yêu']",25-sai no joshikousei
Ore dake Haireru Kakushi Dungeon,"['hành động', 'phiêu lưu', 'ecchi', 'harem', 'giả tưởng']",ore dake haireru kakushi dungeon
Qualidea Code,"['hành động', 'siêu nhiên', 'siêu năng lực']",qualidea code
Kyoukai no Kanata [BD],"['đời thường', 'giả tưởng', 'tình yêu', 'siêu nhiên']",kyoukai no kanata
Ichiban Ushiro no Daimaou,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'phép thuật', 'shounen']",ichiban ushiro no daimaou
Haikyuu!! 4th Season,"['học đường', 'hài hước', 'drama', 'thể thao', 'shounen']",haikyuu
Yuragi-sou no Yuuna-san,"['hài hước', 'ecchi', 'harem', 'tình yêu', 'siêu nhiên', 'shounen']",yuragi-sou no yuuna-san
"Kanojo, Okarishimasu","['học đường', 'hài hước', 'tình yêu', 'shounen']",kanojo okarishimasu
Kamen Rider Ryuki,"['hành động', 'phiêu lưu', 'giả tưởng', 'siêu nhiên', 'tokusatsu', 'viễn tưởng']",kamen rider ryuki
Shokugeki no Souma: Shin no Sara (Ss4),"['học đường', 'ecchi', 'shounen']",shokugeki no souma shin no sara
Ore No Kanojo To Osananajimi Ga Shuraba Sugiru [BD],"['học đường', 'hài hước', 'tình yêu']",ore no kanojo to osananajimi ga shuraba sugiru
Tales of Zestiria the X,['giả tưởng'],tales of zestiria the x
Taboo Tattoo,"['hành động', 'hài hước', 'bỉ ẩn', 'siêu nhiên', 'siêu năng lực', 'võ thuật']",taboo tattoo
Seikoku no Dragonar,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng']",seikoku no dragonar
Kakegurui,"['học đường', 'drama', 'bỉ ẩn', 'tâm lý', 'shounen']",kakegurui
Skirt no Naka wa Kedamono Deshita.,"['drama', 'ecchi', 'tình yêu']",skirt no naka wa kedamono deshita
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,"['giả tưởng', 'siêu nhiên', 'isekai']",mondaiji-tachi ga isekai kara kuru sou desu yo
Fate/stay night: Unlimited Blade Works (2014),"['hành động', 'giả tưởng', 'phép thuật', 'tình yêu', 'siêu nhiên', 'shounen']",fate stay night unlimited blade works
Aishen Qiaokeli-ing...,"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu']",aishen qiaokeli-ing
Fate/Stay Night,"['hành động', 'giả tưởng', 'phép thuật', 'tình yêu', 'siêu nhiên', 'shounen']",fate stay night
Gamers!,"['học đường', 'hài hước', 'tình yêu']",gamers
Re:Creators,['hành động'],re creators
Code Geass: Hangyaku No Lelouch R2 [BD],"['hành động', 'drama', 'giả tưởng', 'mecha', 'tragedy', 'quân đội', 'viễn tưởng']",code geass hangyaku no lelouch r2
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu']",kawaikereba hentai demo suki ni natte kuremasu ka
Nanatsu no Taizai: Fundo no Shinpan (Ss4),"['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'siêu nhiên', 'shounen']",nanatsu no taizai fundo no shinpan
Jojo no Kimyou na Bouken: Ougon no Kaze,"['hành động', 'phiêu lưu', 'shounen']",jojo no kimyou na bouken ougon no kaze
Mob Psycho 100,"['hành động', 'đời thường', 'siêu nhiên', 'shounen']",mob psycho 100
Dakaretai Otoko 1-i ni Odosarete Imasu.,"['drama', 'tình yêu', 'shounen ai']",dakaretai otoko 1-i ni odosarete imasu
